Beginning 3000 episodes of Training
100 3000 -511.65 -511.65 0.854538917542
200 3000 -512.205 -512.76 1.18752002716
300 3000 -462.423333333 -362.86 1.36118793488
400 3000 -374.6725 -111.42 1.70736408234
500 3000 -353.956 -271.09 1.61005592346
600 3000 -331.535 -219.43 1.49506688118
700 3000 -305.535714286 -149.54 1.95166492462
800 3000 -259.56125 62.26 1.61196112633
900 3000 -221.694444444 81.24 1.63113999367
1000 3000 -184.212 153.13 1.9362859726
1100 3000 -145.958181818 236.58 1.45268297195
1200 3000 -104.731666667 348.76 1.37674999237
1300 3000 -66.0061538462 398.7 1.95456290245
1400 3000 -31.3607142857 419.03 1.44595313072
1500 3000 0.672666666667 449.14 1.41622185707
1600 3000 24.9275 388.75 1.79988098145
1700 3000 50.4835294118 459.38 1.40768504143
1800 3000 72.6538888889 449.55 1.39026808739
1900 3000 89.8157894737 398.73 1.85057711601
2000 3000 107.292 439.34 1.55992603302
2100 3000 123.102857143 439.32 1.49552416801
2200 3000 137.93 449.3 1.80937504768
2300 3000 150.589565217 429.1 1.43943309784
2400 3000 162.198333333 429.2 1.45364713669
2500 3000 174.486 469.39 1.80077695847
2600 3000 184.269230769 428.85 1.42061710358
2700 3000 193.345185185 429.32 1.4495871067
2800 3000 201.760714286 428.98 2.00219893456
2900 3000 208.897931034 408.74 1.46345496178
3000 3000 217.245666667 459.33 1.45848488808
Training Done (turning off epsilon and alpha)
---------------------------------------------
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 499
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 499
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 499
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 499
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 495
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 503
Pacman emerges victorious! Score: 499
